Data,Timestamp,entrada
104.09,0.6,5
104.47,0.65,5
110.08,0.7,5
103.53,0.75,5
105.75,0.81,5
103.72,0.86,5
104.65,0.91,5
103.34,0.96,5
104.09,1.01,5
104.56,1.06,5
102.96,1.11,5
104.09,1.17,5
103.15,1.22,5
103.53,1.28,5
104.09,1.34,5
103.9,1.4,5
103.72,1.45,5
104.56,1.51,5
104.84,1.57,5
104.09,1.62,5
103.15,1.67,5
104.28,1.73,5
103.72,1.8,5
103.34,1.87,5
103.81,1.93,5
103.34,1.98,5
103.53,2.03,5
102.38,2.08,5
104.93,2.14,5
104.47,2.19,5
104.0,2.24,5
102.38,2.29,5
103.53,2.34,5
106.02,2.42,5
104.47,2.47,5
108.22,2.52,5
104.74,2.57,5
103.53,2.63,5
104.74,2.68,5
104.0,2.73,5
103.9,2.78,5
103.05,2.83,5
103.9,2.88,5
102.96,2.93,5
104.09,2.98,5
104.19,3.04,5
104.65,3.09,5
103.9,3.14,5
103.9,3.19,5
104.09,3.24,5
103.9,3.29,5
105.02,3.34,5
104.09,3.39,5
102.96,3.44,5
104.0,3.49,5
104.56,3.55,5
103.15,3.6,5
103.53,3.65,5
102.86,3.7,5
102.38,3.75,5
104.28,3.8,5
104.0,3.85,5
104.56,3.9,5
104.0,3.96,5
103.72,4.01,5
104.28,4.06,5
103.9,4.11,5
104.56,4.16,5
104.0,4.22,5
106.56,4.27,5
102.28,4.32,5
104.56,4.37,5
103.43,4.42,5
102.96,4.47,5
104.28,4.52,5
104.19,4.58,5
104.37,4.63,5
104.84,4.68,5
104.56,4.73,5
103.43,4.78,5
104.0,4.83,5
103.34,4.89,5
103.53,4.94,5
104.0,4.99,5
103.34,5.04,5
104.09,5.09,5
103.72,5.14,5
103.53,5.19,5
104.65,5.24,5
103.9,5.29,5
103.62,5.34,5
104.56,5.4,5
104.65,5.45,5
103.62,5.5,5
103.9,5.55,5
103.9,5.6,5
104.28,5.65,5
102.96,5.7,5
103.24,5.75,5
104.19,5.8,5
104.28,5.86,5
104.74,5.91,5
107.53,5.96,5
103.53,6.01,5
103.24,6.06,5
103.34,6.11,5
102.96,6.16,5
104.47,6.22,5
104.09,6.27,5
104.0,6.32,5
103.9,6.37,5
104.47,6.42,5
103.81,6.48,5
103.9,6.53,5
103.43,6.58,5
103.15,6.63,5
102.96,6.68,5
104.28,6.74,5
104.47,6.79,5
104.09,6.84,5
104.28,6.89,5
103.34,6.94,5
103.62,7.0,5
104.0,7.05,5
102.96,7.1,5
103.34,7.15,5
103.05,7.2,5
103.53,7.25,5
103.53,7.31,5
103.24,7.36,5
103.24,7.41,5
103.05,7.46,5
103.62,7.51,5
101.59,7.56,5
106.91,7.61,5
105.57,7.66,5
105.11,7.71,5
104.37,7.76,5
103.53,7.81,5
104.28,7.87,5
104.0,7.92,5
104.56,7.97,5
104.19,8.02,5
103.34,8.07,5
103.9,8.12,5
104.28,8.18,5
103.62,8.23,5
104.47,8.28,5
